Radical ID#,Stroke#,Radical,Meaning,Reading-J,Reading-R,R-Filename,Anim-Filename,Position-J,Position-R,Visual_Form
287,10.0,⾻,bone,ほね,hone,,,,,Bone shape: rectangular outline with curved corners.
288,10.0,,bone,ほねへん,honehen,,,へん,hen,骨の形: 無限の棒状。
289,10.0,⾼,high,たかい,takai,,,,,⾼ (high): horizontal line topped by a single vertical stroke.
290,10.0,⾽,long hair,かみかんむり,kamikanmuri,,,かんむり,kanmuri,Short cut → long tail dragging down
291,10.0,⾾,fighting,たたかいがまえ,tatakaigamae,,,かまえ,kamae,⽚状物的尖端，形状类似拳头。
292,10.0,⾿,herbs,においざけ,nioizake,,,,,⻋轮与杠杆结合，握笔之用。
293,10.0,⿀,tripod,れき,reki,,,,,Tripod has three legs forming a tripod shape.
294,10.0,⿁,demon,おに,oni,,,,,A shadowy figure with pointed ears and fangs.
295,10.0,⾱,leather,なめしがわ,nameshigawa,,,,,Leathery texture; small holes and wrinkles.
296,11.0,⿂,fish,うお,uo,,,,,Tail fin and head.
297,11.0,,fish,うおへん,uohen,,,へん,hen,The radical  looks like a fish with fins spread wide. It connects to its meaning as representing water and aquatic creatures.
298,11.0,⿃,bird,とり,tori,,,,,A bird flying through the sky
299,11.0,⿄,salt,しお,shio,,,,,Claw shape with dots on top. Associated with cooking and food preservation.
300,11.0,⿅,deer,しか,shika,,,,,鹿（むっ）→ four legs and large eyes
301,11.0,⿆,wheat,むぎ,mugi,,,,,Wheat kernel shape
302,11.0,⿇,hemp,あさ,asa,,,,,Hemp stalk with long fibers.
303,11.0,,hemp,あさかんむり,asakanmuri,,,かんむり,kanmuri,Hemp stalk with twisted fibers
304,11.0,⻩,yellow,き,ki,ki-yellow,,,,"Tranquil golden color, often seen in plants."
305,11.0,黒,black,くろ,kuro,,,,,Black ink smear.
306,11.0,⻲,turtle,かめ,kame,,,,,"Shell shape, head with curved neck."
307,12.0,⿈,yellow,き,ki,,,,,Yellow dot surrounded by curved lines
308,12.0,⿉,millet,きび,kibi,,,,,A grain of millet on a small stalk.
309,12.0,⿊,black,くろ,kuro,,,,,Black dot within a square outline.
310,12.0,⿋,embroider,ぬいとり,nuitori,,,,,Embroidered pattern forming a chain.
311,12.0,⻭,tooth,は,ha,,,,,Tooth symbol: small rectangle with point at bottom.
312,13.0,⿌,frog,かえる,kaeru,,,,,A large fish with a small head and long legs.
313,13.0,⿍,tripod,かなえ,kanae,,,,,Triangular structure topped by a straight vertical line.
314,13.0,⿎,drum,つづみ,tuzumi,,,,,A circular symbol with horizontal lines extending from two sides.
315,13.0,⿏,"rat, mouse",ねずみ,nezumi,,,,,⿰ looks like a rat's head with whiskers and small eyes.
316,14.0,⿐,nose,はな,hana,,,,,Nasal passage connecting mouth and nasal cavity.
317,14.0,⿑,alike,せい,sei,,,,,resembles two similar lines intersecting
318,15.0,⿒,tooth,は,ha,,,,,⻮ (teeth) → upper and lower jaw with visible teeth
319,16.0,⿓,dragon,りゅう,ryuu,,,,,"竜 (Dragon): head and neck in left, body like a wave on right."
320,16.0,⿔,turtle,かめ,kame,,,,,Turtle shell with a single tail.
321,17.0,⿕,flute,やく,yaku,,,,,A long thin vertical line with a diagonal cross.
322,,々,,,,,,,,Three strokes stacked vertically.
